Şube No	Şube Adı	Şehir	İlçe	Adres	Telefon	Enlem	Boylam	Yemeksepeti	Getir	Trendyol	Migros
1	İST FATİH İSKENDERPAŞA	İSTANBUL	FATİH	İSKENDERPAŞA MAH.MACAR KARDEŞLER CAD. NO 23 FATİH/İST.	(0212) 631 99 97	41.015819	28.951989	https://www.yemeksepeti.com/restaurant/paeg/bereket-doner-paeg	https://getir.com/yemek/restoran/bereket-doner-iskenderpasa-mah-fatih-istanbul/
2	TEKİRDAĞ ÇORLU EMLAK KONUT (E.K)	TEKİĞRDAĞ	ÇORLU	ESENTEPE MAH. SANCAK 2. SK. GOLDEN LIFE B BLOK NO: 10 /4B CORLU/ TEKIRDAG	0282 502 06 66	41156584618.469818	27843225004.237026	https://www.yemeksepeti.com/restaurant/tqee/bereket-doner-tqee	https://getir.com/yemek/restoran/bereket-doner-corlu-esentepe-mah-corlu-tekirdag/
3	İST ÜMRANİYE TEPEÜSTÜ (R.Y.K)	İSTANBUL	ÜMRANİYE	TEPEÜSTÜ MAHALLESİ ALEMDAĞ CAD. NO:596 / B 34771 ÜMRANİYE / İSTANBUL	0216 420 77 67	41017138965.369034	2913608347.756209	https://www.yemeksepeti.com/restaurant/i6fn/bereket-doner-i6fn	https://getir.com/yemek/restoran/bereket-doner-tepeustu-mah-umraniye-istanbul/
4	İST ÜSKÜDAR MERKEZ (E.K)	İSTANBUL	ÜSKÜDAR	SULTANTEPE MAH. SELMANI PAK CAD. EKSIOGLU NO: 63 /3 ÜSKUDAR/ İSTANBUL	0216 222 09 90	4102526401.282508	2901882732.931701	https://www.yemeksepeti.com/restaurant/f4g7/bereket-doner-f4g7	https://getir.com/yemek/restoran/bereket-doner-sultantepe-mah-uskudar-istanbul/
6	İST ESENYURT TORİUM AVM (E.K)	İSTANBUL	ESENYURT	Turgut Özal Mah, 68 sok.No:50 Torium AVM Esenyurt/İstanbul	0530 914 11 98	41003944.273551	2868789754.244015	https://www.yemeksepeti.com/restaurant/b63t/bereket-doner-b63t	https://getir.com/yemek/restoran/bereket-doner-turgut-ozal-mah-esenyurt-istanbul/
8	İST AVCILAR PELİKAN AVM (E.K)	İSTANBUL	AVCILAR	ÜNİVERSİTE MAH.SELVİ SK.E5 YOLU ÜZERİ NO:25 KAT 2/94 AVCILAR7İST.	0212 620 20 94	4099084560.570025	2871520056.955293	https://www.yemeksepeti.com/restaurant/pnek/bereket-doner-pnek	https://getir.com/yemek/restoran/bereket-doner-universite-mah-avcilar-istanbul/
10	İST BEYOĞLU İSTİKLAL CAD.	İSTANBUL	BEYOĞLU	KATİP MUSTAFA ÇELEBİ MAH.İSTİKLAL CAD. SADRİ ALIŞIK SOK NO:5 BEYOĞLU/İST.	(0212) 251 42 21	4103475454.519489	28980708686.144184	https://www.yemeksepeti.com/restaurant/vzsi/bereket-doner-vzsi
13	İST BAHÇELİEVLER STARCİTY (E.K)	İSTANBUL	BAHÇELİEVLER	Yenibosna Mah.DEĞİRMEN BAHÇE CAD. KONAK SOK NO 2  STARCİTY AVM KAT 2 NO 20 BAHÇELİEVLER/İST.	(0212) 603 42 42	4101135392.168653	2881586401.249716	https://www.yemeksepeti.com/restaurant/u498/bereket-doner-u498	https://getir.com/yemek/restoran/bereket-doner-yenibosna-merkez-mah-bahcelievler-istanbul/
20	İST EYÜP ALİBEYKÖY (E.K)	İSTANBUL	EYÜPSULTAN	Alibeyköy, Atatürk Cd. 32/A, 34060 Eyüpsultan/İstanbul	(0212) 955 02 25	4107579951.647724	2894673772.565536	https://www.yemeksepeti.com/restaurant/eos7/bereket-doner-eos7	https://getir.com/yemek/restoran/bereket-doner-alibeykoy-mah-eyupsultan-istanbul/
31	DÜZCE KREM PARK AVM (E.K)	DÜZCE	MERKEZ	KÜLTÜR MAH.İSTANBUL CAD.NO:1 KREMPARK AVM KAT 3  MERKEZ/DÜZCE	0 380 790 1479	4084079031.514491	31152401987.780605	https://www.yemeksepeti.com/restaurant/kehr/bereket-doner-kehr
38	İST B.ÇEKMECE ATİRUS AVM (E.K)	İSTANBUL	BÜYÜKÇEKMECE	FATİH MAH. LONDRA ASFALTI NO:40 ATİRUS AVM KAT 3 NO:316BÜYÜKÇEKMECE/İST.	0212 883 81 30	4102122813.162348	2858377888.235179	https://www.yemeksepeti.com/restaurant/a5rf/bereket-doner-a5rf	https://getir.com/yemek/restoran/bereket-doner-fatih-mah-buyukcekmece-istanbul-2/
47	İST KAĞITHANE AXİS AVM (E.K)	İSTANBUL	KAĞITHANE	Merkez, Merkez Mah. Cendere Cad Merkez Axis Shopping Center, Sanayi Cd. No:28, 34406 Kağıthane/İstanbul	0 553 846 49 46	4108613412.032208	2898275837.600899	https://www.yemeksepeti.com/restaurant/hq5t/bereket-doner-hq5t	https://getir.com/yemek/restoran/bereket-doner-kagithane-merkez-mah-kagithane-istanbul/
59	DİYARBAKIR CEYLAN KARAVİL AVM	DİYARBAKIR	KAYAPINAR	FIRAT MAHALLESİ URFA BULVARI NO:130 Z34 No: ./Diyarbakır	0 507 840 37 91	3792883147.420034	4017006394.382428	https://www.yemeksepeti.com/restaurant/hksg/bereket-doner-hksg	https://getir.com/yemek/restoran/bereket-doner-kayapinar-gaziler-mah-kayapinar-diyarbakir/
63	İST ÜMRANİYE METROGARDEN AVM (E.K)	İSTANBUL	ÜMRANİYE	NECİP FAZIL MAHALLESİ ALEMDAĞ CAD.NO:940  METRO GARDEN AVM KAT: 2 34773  ÜMRANİYE / İSTANBUL	0 216 510 0902	41015462642.710625	2917859229.950647	https://www.yemeksepeti.com/restaurant/vtql/bereket-doner-vtql	https://getir.com/yemek/restoran/bereket-doner-necip-fazil-mah-umraniye-istanbul/
66	İST BAŞAKŞEHİR İKİTELLİ MASKO (E.K)	İSTANBUL	BAŞAKŞEHİR	İkitelli OSB, ikitelli Mah, Masko Mobilyacılar Çarşısı D:17.ADA, 34490 Başakşehir/İstanbul	(0212) 675 06 97	41063957973.128227	28799869628.716194
85	ANTALYA KEMER (E.K)	ANTALYA	KEMER	YENİ MH.DR.DERVİŞ EROĞLU BLV.NO: 2/18 KEMER - ANTALYA	0542 477 4026	366026381.047164	305594107.368327
92	İST ATAŞEHİR BRANDIUM AVM (E.K)	İSTANBUL	ATAŞEHİR	KÜÇÜKBAKKALKÖY MAHALLESİ DUDULLU CADDESİ BRANDIUM AVM NO:23-25 34750 ATAŞEHİR / İSTANBUL	(0216) 576 86 93	40982039109.354126	2913225438.286668
95	İST BAHÇELİEVLER HAZNEDAR (E.K)	İSTANBUL	BAHÇELİEVLER	Bahçelievler, Naci Kasım Cd. No:2 D:4A, 34180 Bahçelievler/İstanbul	(0212) 644 61 99	41004996331.265709	28871065503.281265	https://www.yemeksepeti.com/restaurant/c46f/bereket-doner-c46f	https://getir.com/yemek/restoran/bereket-doner-bahcelievler-mah-bahcelievler-istanbul/
100	İST SULTANBEYLİ ATLAS PARK (E.K)	İSTANBUL	SULTANBEYLİ	ABDURRAHMANGAZİ MAH. FATİH BULV. NO:67 ATLAS PARK AVM KAT 3 NO:18 SULTANBEYLİ/İSTANBUL	0 216 496 4848	40969497857.949501	2925502455.466741	https://www.yemeksepeti.com/restaurant/tbqj/bereket-doner-tbqj	https://getir.com/yemek/restoran/bereket-doner-abdurrahmangazi-mah-sultanbeyli-istanbul/
107	İST AVCILAR ISPARTAKULE (E.K)	İSTANBUL	AVCILAR	TAHTAKALE MAHALLESİ ABDİ İPEKÇİ CADDESİ AÇELYA SOKAK BİZİMEVLER 4 T1 NO: 1. AVCİLAR/ İSTANBUL	0212 801 2090	4105864160.595352	28714438365.989964	https://www.yemeksepeti.com/restaurant/qvs9/bereket-doner-qvs9	https://getir.com/yemek/restoran/bereket-doner-tahtakale-mah-avcilar-istanbul/
120	KARABÜK MEYDAN (R.Y.K)	KARABÜK	MERKEZ	BAYIR MAH. KEMAL GÜNEŞ CAD. NO:147/A ÇINAR İŞ MERKEZİ MERKEZ/KARABÜK	0 370 412 4400	4119570243.867697	32617672185.584255		https://getir.com/yemek/restoran/bereket-doner-merkez-bayir-mah-merkez-karabuk-2/
